Executed MPI Program,Number of MPI Processes,Execution Time (ms),Memory Usage (KB)
raft.c,10,126.55,1428
raft.c,10,127.74,1424
raft.c,10,125.98,1424
raft.c,10,126.57,1428
raft.c,10,125.97,1428
raft.c,10,126.56,1424
raft.c,10,126.11,1424
raft.c,10,125.85,1428
raft.c,10,126.48,1424
raft.c,10,127.07,1408
raft.c,10,126.47,1424
raft.c,10,125.95,1424
raft.c,10,126.70,1420
raft.c,10,126.81,1424
raft.c,10,126.38,1424
raft.c,10,126.08,1424
raft.c,10,125.56,1420
raft.c,10,125.82,1424
raft.c,10,127.39,1428
raft.c,10,126.71,1424
raft.c,10,125.63,1428
raft.c,10,126.76,1424
raft.c,10,125.81,1428
raft.c,10,125.78,1424
raft.c,10,125.64,1428
raft.c,10,126.38,1424
raft.c,10,126.62,1424
raft.c,10,126.44,1424
raft.c,10,127.73,1428
raft.c,10,125.20,1428
raft.c,10,126.45,1428
raft.c,10,126.44,1424
raft.c,10,125.96,1424
raft.c,10,125.99,1416
raft.c,10,126.07,1424
raft.c,10,126.38,1428
raft.c,10,126.89,1416
raft.c,10,126.16,1428
raft.c,10,125.98,1428
raft.c,10,126.00,1424
raft.c,10,125.76,1412
raft.c,10,126.78,1424
raft.c,10,126.50,1428
raft.c,10,126.10,1408
raft.c,10,126.80,1424
raft.c,10,127.05,1428
raft.c,10,126.01,1420
raft.c,10,126.17,1428
raft.c,10,126.64,1428
raft.c,10,126.64,1416
raft.c,10,128.09,1428
raft.c,10,126.88,1424
raft.c,10,126.78,1408
raft.c,10,127.26,1424
raft.c,10,126.43,1428
raft.c,10,126.59,1424
raft.c,10,127.90,1428
raft.c,10,128.48,1424
raft.c,10,128.93,1428
raft.c,10,126.43,1408
raft.c,10,127.03,1408
raft.c,10,126.46,1428
raft.c,10,126.29,1428
raft.c,10,125.61,1412
raft.c,10,126.58,1424
raft.c,10,125.82,1428
raft.c,10,125.83,1428
raft.c,10,126.40,1420
raft.c,10,126.00,1420
raft.c,10,126.45,1424
raft.c,10,125.81,1416
raft.c,10,126.55,1428
raft.c,10,125.64,1412
raft.c,10,125.89,1420
raft.c,10,128.98,1424
raft.c,10,126.61,1416
raft.c,10,126.58,1424
raft.c,10,125.77,1424
raft.c,10,127.36,1424
raft.c,10,125.99,1428
raft.c,10,126.10,1412
raft.c,10,126.31,1412
raft.c,10,125.43,1424
raft.c,10,127.54,1428
raft.c,10,126.08,1428
raft.c,10,127.36,1412
raft.c,10,126.18,1428
raft.c,10,125.76,1424
raft.c,10,125.99,1428
raft.c,10,126.23,1420
raft.c,10,125.30,1424
raft.c,10,125.98,1428
raft.c,10,126.15,1428
raft.c,10,126.65,1428
raft.c,10,126.29,1416
raft.c,10,126.64,1424
raft.c,10,126.01,1424
raft.c,10,126.05,1428
raft.c,10,126.21,1408
raft.c,10,126.34,1416
paxos.c,10,126.46,1428
paxos.c,10,127.41,1428
paxos.c,10,127.96,1428
paxos.c,10,125.52,1412
paxos.c,10,126.33,1424
paxos.c,10,127.34,1424
paxos.c,10,134.31,1428
paxos.c,10,126.16,1424
paxos.c,10,134.99,1424
paxos.c,10,126.54,1424
paxos.c,10,125.30,1428
paxos.c,10,126.50,1424
paxos.c,10,126.32,1408
paxos.c,10,126.34,1412
paxos.c,10,127.57,1428
paxos.c,10,126.13,1424
paxos.c,10,126.02,1428
paxos.c,10,135.23,1420
paxos.c,10,127.11,1428
paxos.c,10,125.89,1424
paxos.c,10,125.87,1428
paxos.c,10,126.51,1424
paxos.c,10,125.58,1428
paxos.c,10,126.13,1404
paxos.c,10,125.97,1424
paxos.c,10,126.98,1428
paxos.c,10,131.95,1424
paxos.c,10,125.34,1416
paxos.c,10,126.19,1424
paxos.c,10,126.40,1428
paxos.c,10,125.99,1424
paxos.c,10,125.84,1428
paxos.c,10,128.93,1424
paxos.c,10,125.54,1428
paxos.c,10,125.52,1428
paxos.c,10,132.98,1428
paxos.c,10,125.92,1428
paxos.c,10,131.05,1412
paxos.c,10,126.06,1424
paxos.c,10,125.84,1428
paxos.c,10,126.87,1424
paxos.c,10,126.49,1424
paxos.c,10,126.81,1424
paxos.c,10,125.33,1424
paxos.c,10,125.98,1428
paxos.c,10,126.22,1428
paxos.c,10,128.27,1428
paxos.c,10,126.15,1420
paxos.c,10,133.19,1428
paxos.c,10,125.52,1428
paxos.c,10,125.89,1404
paxos.c,10,126.64,1428
paxos.c,10,125.68,1424
paxos.c,10,126.46,1428
paxos.c,10,126.08,1428
paxos.c,10,125.94,1428
paxos.c,10,125.67,1424
paxos.c,10,125.38,1424
paxos.c,10,125.67,1416
paxos.c,10,126.90,1416
paxos.c,10,126.94,1424
paxos.c,10,133.69,1424
paxos.c,10,126.76,1424
paxos.c,10,133.35,1428
paxos.c,10,126.12,1420
paxos.c,10,127.15,1428
paxos.c,10,125.89,1424
paxos.c,10,125.48,1428
paxos.c,10,126.22,1424
paxos.c,10,126.03,1428
paxos.c,10,134.39,1428
paxos.c,10,125.91,1428
paxos.c,10,130.11,1420
paxos.c,10,126.06,1428
paxos.c,10,125.58,1420
paxos.c,10,126.62,1412
paxos.c,10,126.36,1408
paxos.c,10,126.92,1420
paxos.c,10,127.01,1428
paxos.c,10,127.71,1428
paxos.c,10,125.83,1416
paxos.c,10,134.69,1428
paxos.c,10,125.52,1428
paxos.c,10,131.02,1424
paxos.c,10,126.11,1424
paxos.c,10,126.55,1424
paxos.c,10,126.08,1420
paxos.c,10,126.72,1428
paxos.c,10,126.01,1416
paxos.c,10,125.30,1428
paxos.c,10,126.95,1416
paxos.c,10,126.21,1428
paxos.c,10,134.12,1428
paxos.c,10,127.81,1424
paxos.c,10,133.82,1428
paxos.c,10,127.16,1428
paxos.c,10,126.10,1428
paxos.c,10,125.97,1428
paxos.c,10,126.29,1420
paxos.c,10,126.08,1428
hotstuff.c,10,125.98,1428
hotstuff.c,10,126.33,1408
hotstuff.c,10,126.65,1424
hotstuff.c,10,126.25,1424
hotstuff.c,10,126.31,1408
hotstuff.c,10,126.03,1412
hotstuff.c,10,126.45,1428
hotstuff.c,10,127.78,1420
hotstuff.c,10,126.33,1428
hotstuff.c,10,126.13,1412
hotstuff.c,10,128.41,1420
hotstuff.c,10,127.69,1424
hotstuff.c,10,125.87,1424
hotstuff.c,10,126.21,1420
hotstuff.c,10,125.94,1424
hotstuff.c,10,126.96,1424
hotstuff.c,10,125.35,1412
hotstuff.c,10,126.43,1420
hotstuff.c,10,126.45,1424
hotstuff.c,10,126.35,1424
hotstuff.c,10,126.39,1424
hotstuff.c,10,125.98,1420
hotstuff.c,10,126.29,1428
hotstuff.c,10,127.73,1428
hotstuff.c,10,127.46,1428
hotstuff.c,10,126.67,1408
hotstuff.c,10,126.78,1416
hotstuff.c,10,126.28,1424
hotstuff.c,10,127.24,1424
hotstuff.c,10,126.81,1408
hotstuff.c,10,127.25,1420
hotstuff.c,10,126.00,1424
hotstuff.c,10,126.53,1412
hotstuff.c,10,126.36,1412
hotstuff.c,10,125.74,1412
hotstuff.c,10,125.66,1428
hotstuff.c,10,126.64,1428
hotstuff.c,10,125.70,1424
hotstuff.c,10,125.75,1428
hotstuff.c,10,125.60,1428
hotstuff.c,10,125.93,1424
hotstuff.c,10,126.06,1428
hotstuff.c,10,125.47,1424
hotstuff.c,10,126.14,1428
hotstuff.c,10,124.58,1428
hotstuff.c,10,126.61,1428
hotstuff.c,10,126.43,1424
hotstuff.c,10,125.40,1416
hotstuff.c,10,126.27,1424
hotstuff.c,10,126.39,1420
hotstuff.c,10,126.14,1424
hotstuff.c,10,125.77,1408
hotstuff.c,10,128.74,1428
hotstuff.c,10,126.67,1424
hotstuff.c,10,125.91,1428
hotstuff.c,10,128.32,1428
hotstuff.c,10,126.79,1424
hotstuff.c,10,125.89,1428
hotstuff.c,10,125.99,1428
hotstuff.c,10,126.47,1424
hotstuff.c,10,125.93,1424
hotstuff.c,10,126.46,1412
hotstuff.c,10,126.20,1428
hotstuff.c,10,126.27,1428
hotstuff.c,10,126.20,1412
hotstuff.c,10,126.45,1428
hotstuff.c,10,126.34,1428
hotstuff.c,10,126.30,1416
hotstuff.c,10,126.36,1416
hotstuff.c,10,125.66,1408
hotstuff.c,10,125.82,1416
hotstuff.c,10,126.64,1424
hotstuff.c,10,126.43,1408
hotstuff.c,10,125.61,1428
hotstuff.c,10,125.91,1424
hotstuff.c,10,125.94,1424
hotstuff.c,10,125.91,1428
hotstuff.c,10,125.87,1424
hotstuff.c,10,126.33,1420
hotstuff.c,10,126.32,1424
hotstuff.c,10,126.22,1424
hotstuff.c,10,125.41,1424
hotstuff.c,10,126.45,1428
hotstuff.c,10,125.43,1420
hotstuff.c,10,125.41,1416
hotstuff.c,10,126.03,1424
hotstuff.c,10,127.07,1424
hotstuff.c,10,126.36,1424
hotstuff.c,10,126.21,1424
hotstuff.c,10,126.11,1404
hotstuff.c,10,126.55,1416
hotstuff.c,10,125.75,1420
hotstuff.c,10,126.14,1424
hotstuff.c,10,126.30,1428
hotstuff.c,10,126.06,1428
hotstuff.c,10,126.36,1408
hotstuff.c,10,126.42,1424
hotstuff.c,10,125.39,1428
hotstuff.c,10,125.94,1428
hotstuff.c,10,126.05,1424
